Calculo diferencial
3
1
Calc31
64
80
149
Calc311
5
2024-05-30
"['DANIEL_RICARDO VILLAROEL', 25]"
"['MERCEDES_ALEJANDRA FERRERI', 19]"
"['AILIN SAVINO', 30]"
"['SALIM FERRETTI', 25]"
"['EHEDEI CIANCIO', 37]"
"['GUSTAVO_HECTOR DEL_BUONO', 55]"
"['EVA_ASCENSION CRIVANI', 22]"
"['JAIME_LEONARDO ALBITAR', 33]"
"['LUIS_MARCOS ZAMARINI', 35]"
"['YUSARA STUCHER', 24]"
"['ANTONIO_RUFINO PERCIN', 73]"
"['NURIA_ALEJANDRA TOLA', 54]"
"['ANGELES_ANA SALUDES', 82]"
"['CRISTINA_NIEVES MANASSE', 41]"
"['ANICETO MORLUPI', 38]"
"['FETTOUMA DUO', 29]"
"['ALINA_ELENA CODOCEA', 21]"
"['TOM OYOQUIPA', 33]"
"['BEDA SALUM', 23]"
"['NELLY_RAQUEL FRIED', 40]"
"['JOSE_ISMAEL ARAMINI', 35]"
"['MARIO_RUBEN PINTANEL', 51]"
"['THOMAS_ALEXANDER PERASSO', 18]"
"['ELENA_ELVIRA PINASCO', 40]"
"['CLARA_ELENA PROVITINA', 39]"
"['GUILLERMO_RAMON FRASCINO', 17]"
"['DOLORES_ROSARIO SIDI', 34]"
"['GENNARO OLOCO', 24]"
"['SEYDI PETRON', 29]"
"['ABDELOIHID PLENCOVICH', 16]"
