Calculo diferencial
3
1
Calc31
64
80
149
Calc314
5
2024-05-30
"['GRYGORIY KUSZNIR', 56]"
"['FATIMA_SOHRA CATTACH', 37]"
"['JOAQUIN_RAMON ZARANDON', 17]"
"['HITESH GRASES', 38]"
"['OANA BERGU̱O', 25]"
"['SANDRA_ELENA PRUENZA', 33]"
"['GERMAN_MIGUEL LANZAVECCHIA', 27]"
"['JORGE_RODOLFO MUSIC', 25]"
"['IVAN_EDUARDO PASINETTI', 35]"
"['JOANA_CARMEN FIGUERERO', 41]"
"['NOURDIN CALIZZANO', 16]"
"['GEMMA_ESTHER PRIETO', 22]"
"['JAIME_FERMIN SARICH', 16]"
"['FRANCISCA_ASCENSION SENKER', 31]"
"['LUIS_CRISTOBAL PASSAMAI', 25]"
"['MILAGROS_ROSARIO THOMPSON', 28]"
"['JESUS_MARCOS GASTELLU', 28]"
"['MIRIAN_SOLEDAD AROCA', 29]"
"['GUSTAVO_LEONARDO LUTGEN', 18]"
"['FRANCESC_MANUEL SAIHUEQUE', 23]"
"['TERESA_ISABEL LINDEBORG', 83]"
"['BIBIANA_PATRICIA CARRESCIA', 28]"
"['ZHIPENG GIOVANA', 27]"
"['CHUNLING VASSALLO', 31]"
"['MARIANELA_ROCIO MEMBRIBE', 19]"
"['CRISTOBAL_JAVIER LANZON', 37]"
"['AVELINO_JESUS TIERRI', 23]"
"['ISAIAS_JOSE BUSMAIL', 29]"
"['RAUL_IOAN CHABABO', 21]"
"['MARIA_OFIR DI_GIORNO', 23]"
