Geometria vectorial y analitica
3
1
Geom31
64
80
149
Geom313
5
2024-05-30
"['FRANCISCA_PILAR GIORDANO', 25]"
"['CLARA_TERESA FABRIZIO', 33]"
"['ROSA_EVELIA COCCIADIFERRO', 34]"
"['DAN_ANDREI POLIFEMO', 28]"
"['MARIA_SALOME ADACHI', 37]"
"['DORKA SOREGAROLI', 19]"
"['SEHAM HUAMAN', 21]"
"['LIBERIO PIAZZI', 68]"
"['FRANCISCA_AURORA CESARINI', 19]"
"['BELKIS_MARIA DI_CARLO', 39]"
"['PETER_ALAN SABELLOTTI', 18]"
"['ADRIAN_MIHAI DE_ROSAS', 23]"
"['PATRICIA_CECILIA NICOLLIER', 20]"
"['HENRY_MANUEL KOULAKSIZIAN', 33]"
"['ROSARIO_JULIA MINUZ', 21]"
"['NADKA DE_MARTINO', 18]"
"['MARIANA_GEORGETA KONDRATIUK', 36]"
"['BOUKHIAR JAYO', 60]"
"['ADELFA ZAGONEL', 21]"
"['JUANMEI DIAV', 26]"
"['IGNACIO_DOMINGO DARRETCHE', 23]"
"['IORITZ CACHOLATTI', 16]"
"['MARIA_NAYRA LUSA', 22]"
"['JEAN_POL GELVEZ', 18]"
"['SOFIA_ELISABETH GALERA', 23]"
"['SOFIA_CARMEN CANTUNEZ', 22]"
"['JORGE_LEON ATTINELLO', 26]"
"['MARIA_FLOR_LIS SILES', 76]"
"['NADIM PUSZKAR', 18]"
"['CRISTIAN_SALVADOR ANTENOR', 41]"
