Geometria vectorial y analitica
3
1
Geom31
64
80
149
Geom315
5
2024-05-30
"['STEVE GAYTAN', 17]"
"['FRANCISCO_JOAQUIN SROUR', 22]"
"['SABRINA_ALEXANDRA ATALIVA', 31]"
"['ALBA_SOLEDAD PEREA', 22]"
"['DULCE_ELENA UGALDEA', 37]"
"['ARUSYAK KREYZANOUSKI', 25]"
"['DANIEL_MIGUEL BARBOZA', 30]"
"['MEIKE DI_LEONARDI', 26]"
"['SILVIAN ZAPIOLA', 23]"
"['MATEO_ALEJANDRO LARRA̱AGA', 28]"
"[""PIEDAD_CARMEN D'_ABRAMO"", 34]"
"['JOSE_AGOSTINHO TURINETTO', 38]"
"['ANGEL_JONATHAN CEREZO', 25]"
"['ROGELIO_JUAN ERENCHUN', 20]"
"['LORENA_ALEXANDRA SAGRISTA', 17]"
"['FABIOLA ZALEME', 22]"
"['HUI STADELMANN', 38]"
"['NICANOR AMUSO', 16]"
"['MARIA_LINDA DAVOLA', 20]"
"['HIPOLITO_MANUEL ZARRA', 24]"
"['NEZAR ABACHINI', 36]"
"['GABRIELA_TERESA FORTON', 17]"
"['JORGE_ALEX ANTONIO', 17]"
"['FRANCHO GIANNACCINI', 19]"
"['VALENTIN_JAVIER FLOREANCIG', 76]"
"['FRANCISCO_YERAY MOSSO', 26]"
"['JUAN_ADRIAN PASALAGUA', 22]"
"['URSZULA PILONI', 35]"
"['XIAOZHU FIORRUCCI', 29]"
