Vivamos la universidad
1
1
Viva11
16
32
149
Viva112
5
2024-05-30
"['NITA CALDEZ', 62]"
"['MELANIA LIZARAZU', 56]"
"['VICTOR_FERNANDO DE_RITIS', 16]"
"['SEGUNDA OLIO', 18]"
"['SONYA BALAGUERO', 24]"
"['EDGAR_FERNANDO FACUNDO', 21]"
"['IKER_JOEL TRAINE', 18]"
"['INES_PATRICIA SIGEL', 65]"
"['CARLOS_ORLANDO FOLMER', 34]"
"['REBECA_VANESSA FAREL', 36]"
"['SONIA_MARINA BARSOTTI', 26]"
"['MARIA_MANUELA MUNTION', 25]"
"['RAUL_CATALIN PORTELA', 19]"
"['MARIA_YUGO LEDO', 23]"
"['ALEXANDRINA SISTO', 26]"
"['DAVID_RAMIRO POTASSA', 18]"
"['MARCELINO YTURREZ', 22]"
"['ODON ALCARAZ', 28]"
"['HARI FATALA', 17]"
"['JANET_ANN INMENZON', 61]"
"['SILVIA_LUZ ESSLINGER', 31]"
"['DARIUS_MIHAI CONCATTI', 38]"
"['ISIDRO_JOSE DEL_GESSO', 25]"
"['GIOVANNI_JOSE OTEGUI', 32]"
"['ARTURO_JORGE LOMAZZO', 24]"
"['DOCHIA LIBERATORI', 63]"
"['CRISTIAN_EUGEN HUARANCA', 25]"
"['JUAN_MOISES UMEK', 25]"
"['PEDRO_ROQUE KIRIAKIDIS', 32]"
"['MARIA_BRIGIDA VILLAFUERTE', 27]"
