Calculo integral
3
2
Calc32
64
80
137
Calc324
5
2024-05-30
"['JULIAN_JESUS FRONTI', 25]"
"['ROUCHDI ANTOLICHE', 29]"
"['DELMIRO BOSIO', 22]"
"['LUZ_LUNA PERREN', 19]"
"['DOLORES_MARTA CHATICH', 23]"
"['MATIAS_ANTONIO SAMUEL', 23]"
"['ABDUL SCALETTA', 32]"
"['HOUSSNIA TALANI', 78]"
"['SAHIB VINACCIA', 20]"
"['ANGEL_RENE ROSELLO', 40]"
"['MARIA_JESUS_ISABEL NAVECILLA', 23]"
"['KIKO VILARRASA', 56]"
"['JUANA_PURIFICACION STECCO', 24]"
"['SEGUNDO_PATRICIO INSABELLA', 17]"
"['ALEXIS_SANTIAGO COMBA', 58]"
"['YORDAN SAPORITI', 22]"
"['DIEGO_JOSUE BORGHETTO', 31]"
"['TSVETOSLAV MI̱ONES', 56]"
"['ERIKA_JULIETH PORELLO', 24]"
"['JOLANDA GOROZURRETA', 20]"
"['ANNA_MARTA CALUKE', 23]"
"['JACOBO_LUIS ALTUNA', 33]"
"['BRIANNA ORLANDI', 20]"
"['GABOR PETERSEN', 22]"
"['KEVEN MASNU', 20]"
"['MARIA_CARMEN_LOURDES FERREYRA', 24]"
"['YVES CAUSARANO', 50]"
"['BENJAMIN_DAVID GIGENA', 39]"
"['MIA_VALENTINA COSTILLA', 34]"
"['PEDRO_MARCOS TABARE', 21]"
