Física Mecánica
3
3
Físi33
64
80
120
Físi333
4
2024-05-30
"['DAFNE YUZEFOFF', 80]"
"['AHMEDOU DAVIRE', 30]"
"['BRAYAN_FERNANDO CONSTANTINO', 19]"
"['ADITA UZABIAGA', 28]"
"['DIANA_LETICIA ELENA', 16]"
"['LILIIA SCHOEDER', 22]"
"['TOMAS_BENJAMIN PANADES', 52]"
"['HUGO_GABRIEL CAPERON', 35]"
"['ALEX_IVAN TELLEZ', 30]"
"['BERNADETT GONANO', 25]"
"['BOGDAN PAVIA', 17]"
"['ANA_VIORICA MORATORIO', 25]"
"['MARIA_FUENTES SAMMARITANO', 18]"
"['REBECCA_MARIA NESTEROWICZ', 23]"
"['EMPAR KNOLL', 34]"
"['MARCOS_SEBASTIAN BIKARDT', 27]"
"['LUCIA ACUÃ±A', 39]"
"['ALINA_COSMINA KOHLS', 26]"
"['EL_KAMLA ALALCON', 56]"
"['KEVEN MOLLISACA', 25]"
"['YANIRA_PILAR SIMPSON', 16]"
"['FRANCISCO_MARIANO FINESTRAS', 16]"
"['THIAGO_DANIEL HUANCA', 21]"
"['NAHIKARI LOZZI', 20]"
"['DEVORAH CARUSO', 17]"
"['WALKIRIA LOLOY', 33]"
"['ADOLFO_JESUS BORA', 17]"
"['JESICA_CARMEN POLLOLA', 34]"
"['MARIA_NELVA SCHEPIS', 27]"
"['ROSANNY DALOMBO', 40]"
