Teoria General de Sistemas
3
3
Teor33
64
80
120
Teor331
4
2024-05-30
"['IBA CANTOR', 21]"
"['LUIS_FRANKLIN REBOLLEDO', 20]"
"['ALINA_DANIELA DE_CORSO', 35]"
"['NAZLY LASTARIO', 24]"
"['JAIME_MARCELO ESQUEN', 42]"
"['JOSEFA_HERMINIA VIELMA', 39]"
"['CARMEN_ROSA CAUSA', 25]"
"['JORGE_GREGORIO KEPA', 22]"
"['BIZEN CHAPINI', 26]"
"['PAOLA_FERNANDA LUCA', 17]"
"['PABLO_CAYETANO MAHMUD', 24]"
"['JHONATAN_ANDRES SMOLARES', 21]"
"['MONCEF TELA', 20]"
"['FELISA_MARIA_CARMEN MELCHOR', 28]"
"['YAVE UCHITEL', 67]"
"['LUIS_ADAN PEZZELATO', 24]"
"['JOHN_GORDON CUCHARANO', 19]"
"['ROSALINO PORTIS', 32]"
"['DAMIAN FORTIS', 22]"
"['MARIA_ADOLFINA NOLTE', 24]"
"['KAIWEN HUAYTA', 18]"
"['JEREMY_DAVID CAMPAGNARO', 45]"
"['NAOUAR GEZ', 23]"
"['PABLO_PASCUAL VIVAS', 20]"
"['RALUCA_ALINA LUSICH', 25]"
"['GEORGIANA_MARIANA VANCINI', 20]"
"['SERGIU_ADRIAN CAMARGO', 24]"
"['VIRGINIA_CONCEPCION JAMES', 26]"
"['CANDELARIA_CARMEN LASPIUR', 30]"
"['SANTI CECCHINI', 71]"
