Teoria General de Sistemas
3
3
Teor33
64
80
120
Teor334
4
2024-05-30
"['KARINA_MARIA SARRA', 17]"
"['RUBEN_JULIO DA_SILVERA', 18]"
"['SARA_JULIANA JORBA', 25]"
"['ADRIAN_SALVADOR VILLADA', 16]"
"['MARIA_JULIANA SIBERT', 29]"
"['JORGEN LEHOUX', 18]"
"['KHAN CIANCAGLINI', 38]"
"['AURA_ESTELA HUANG', 30]"
"['WANG SPATARO', 32]"
"['CYNTHIA CHAILE', 20]"
"['TESEO CSAKY', 25]"
"['JORGE_AVELINO DELUGAN', 27]"
"['PAMELA_ELIZABETH LEKIS', 29]"
"['LEONARDO_JOSE RUSCIO', 28]"
"['ROSENDO TOSCANELLI', 18]"
"['SONIA_MONICA MARCHIONE', 30]"
"['CULITA RUFF', 23]"
"['YURI_SARAY GARCIA', 30]"
"['DAMIAN ROBURU', 22]"
"['RILMA NACUSSE', 22]"
"['MARIA_LLUCH SANDOVAL', 16]"
"['NAYRA_MARIA ALGARIN', 23]"
"['DIOGO_ALEXANDRE OLAVARRIETA', 17]"
"['ANNA_SOPHIA ARGA̱A', 21]"
"['CRISTOFOL BERKO', 25]"
"['ANA_KATHERINE URIARTI', 21]"
"['ABI MARRAPODI', 20]"
"['CARMEN_DELIA TRICCO', 16]"
"['ROBERT VERTTE', 17]"
"['ANGEL_LUCIO VICH', 22]"
