Diseño de experimentos y analisis de regresion
3
4
Dise34
64
80
125
Dise343
5
2024-05-30
"['GENADI PATRUNO', 33]"
"['JUAN_CELESTINO SCIARINI', 25]"
"['RICARDO_NICOLAS COGORNO', 16]"
"['NUNU CELIN', 21]"
"['DIANA_CONSTANZA YANISKOWSKI', 32]"
"['CAROLINA_PATRICIA ELIZECHE', 21]"
"['ROSARIO_TERESA ARDILES', 82]"
"['ANDRES_ANGEL DESBIAT', 38]"
"['FLORINA_MIHAELA DANTELO', 71]"
"['ASCENDINA RAIKA', 16]"
"['CARMIÑA FAVRAT', 25]"
"['SELICA DIBELO', 17]"
"['RODRIGO FRUTOS', 16]"
"['CESAR_OCTAVIO LASCIARREA', 25]"
"['KEITH_WILLIAM CONTIN', 22]"
"['DOLORES_ROSARIO SALA', 20]"
"['LEANA GROEZINGER', 23]"
"['DAN_GHEORGHE ERIZES', 40]"
"['MICHAEL_JESUS LERA', 20]"
"['ZARINA CAVILLA', 32]"
"['EUGENIO_MIGUEL BELLESTAR', 37]"
"['TAMARI PINCHINATTI', 30]"
"['CAMPO_ELIAS QUADRIO', 28]"
"['LIDIA_CRISTINA SOSTRE', 18]"
"['GEORGETA_ADRIANA MELIDONI', 30]"
