Diseño de experimentos y analisis de regresion
3
4
Dise34
64
80
125
Dise345
5
2024-05-30
"['WELLINGTON GRIEBEN', 29]"
"['RAKIA GRACIADEI', 21]"
"['MAMADOU_MOUSTAPHA RASPO', 29]"
"['EMILIA_RAMONA GALIBERT', 19]"
"['YIHAN BERTALOT', 16]"
"['OSANE APRIGLIANO', 69]"
"['AMALIA_BEATRIZ SEDO', 19]"
"['DYLAN_STEVEN MOUSSOMPES', 21]"
"['LUIS_VICTOR PLATA', 33]"
"['JOHAN_ALEXANDER BELLAVIA', 29]"
"['DOMINGO_RAFAEL AWADA', 29]"
"['XUNE KAPUSTIN', 38]"
"['ISABEL_LUZ LOYOLA', 32]"
"['LUNA_SOFIA GILS', 18]"
"['ASHLEY_DANIELA SALATA', 49]"
"['OSCAR_ISRAEL MARCZUK', 27]"
"['DIMITAR_YORDANOV GAGGERO', 40]"
"['MARGUERITE PANCHERI', 44]"
"['AITZPEA DRUSIN', 18]"
"['GUILLERMO_VICENTE NOGALES', 24]"
"['IONELA_LUMINITA SCALABRINI', 27]"
"['MIREIA_MARIA GAUTO', 31]"
"['PAUL_BRIAN GODI', 32]"
"['LAURA_CANDELARIA PENSOTTI', 80]"
"['DIEGO_FELIPE CARAKE', 27]"
