Ingenieria economica
3
4
Inge34
64
80
125
Inge341
5
2024-05-30
"['KANDELA AYELEF', 21]"
"['DOMINGO_ROMERO CROIZET', 16]"
"['JAVIER_ALFONSO RAINERI', 20]"
"['EUDALDO MATELLAN', 31]"
"['JOSE_SEGUNDO MONTARZINO', 33]"
"['NORA_CECILIA MASSA', 39]"
"['LURDES FRIOL', 33]"
"['ANTIGUA ESTURRI', 32]"
"['HENRY_ALEJANDRO BENESSI', 38]"
"['SARA_INMACULADA LAGHEZZA', 24]"
"['GRACIELA_BEATRIZ ZIGALINI', 62]"
"['CESAREO_MANUEL ARAUDO', 45]"
"['MARIA_VILLA SMITH', 17]"
"['ASSMAE CASAO', 19]"
"['HERCULINA SELEN', 26]"
"['JOSU_MIRENA MORILLO', 72]"
"['KATHERINE KALEKA', 29]"
"['MANUEL_CIPRIANO SAMBRAN', 33]"
"['MARTA_AURORA BESSONE', 28]"
"['FORTUNATO TARTAGLIONE', 39]"
"['JUAN_SERGIO ALBORTA', 24]"
"['RAFAEL_OSCAR VIRGA', 29]"
"['TERESA_CAROLINA ABDALA', 20]"
"['LUCIA_ALBA CALFUAN', 33]"
"['EDORTA PICCETTI', 32]"
