Dinámica de Sistemas
3
5
Diná35
64
80
97
Diná352
4
2024-05-30
"['HYUSEIN PAPUTSAKIS', 25]"
"['AHREN GASTAGER', 40]"
"['LUIS_EVELIO BRULLO', 30]"
"['LORENA_VANESA ZUCCHINI', 37]"
"['ROSILENE DE_VECCHI', 18]"
"['PENGFEI SAMBAN', 34]"
"['SHAOFEN BURGIN', 18]"
"['JAIRO_DANIEL GUASCONI', 17]"
"['YITING BATTEZZATI', 25]"
"['MARIA_NELVA SCHNAIDER', 25]"
"['ANA_MARIA_JOSEFA BRITOS', 21]"
"['SEBASTIAN_LUIS CASTELUCHE', 20]"
"['NESTOR_ANTONIO DE_DIEGO', 33]"
"['ELIANA_PATRICIA ASSALIAN', 21]"
"['NAZARET PERFUMO', 16]"
"['JACINTO_DAVID ARMAGNI', 31]"
"['ROBERTO_FRANCISCO MAGGERI', 25]"
"['REMUS_IOAN PELLAROLO', 40]"
"['DOMINGO_LUIS RUARTE', 30]"
"['ANTHONY_JESUS TOGACHENSKO', 22]"
"['OUMY CASTERAN', 20]"
"['COSTINA ROTSCHY', 23]"
"['KULJIT BRACCI', 19]"
"['OMAR_MANUEL OSTE', 30]"
"['XENKI VILLAVERDE', 22]"
