Dinámica de Sistemas
3
5
Diná35
64
80
97
Diná354
4
2024-05-30
"['LORENZA MALCEÃ±IDO', 26]"
"['EUGENIO_DAVID SLEIMAN', 16]"
"['PHYLLIS QUILQUITRIPAY', 17]"
"['MARIA_JOHANNA ABUD', 31]"
"['WILLIAM_ALEJANDRO SAVASTEJKO', 19]"
"['NORMA_INES GORITZ', 23]"
"['PASCUAL_JOSE VILLAMAÃ±E', 18]"
"['DIANA_ANGELA SPIEGEL', 31]"
"['ADELA_PILAR PELEGRI', 35]"
"['ZAIN BALCEDA', 32]"
"['MARIA_ROSEL GLUCKSMANN', 20]"
"['ELAYNE RIKEMBERG', 28]"
"['ALONSO_DAVID NALDI', 16]"
"['ELIZANGELA FREITAG', 16]"
"['NOUARA ETTEDGUI', 33]"
"['INHA CIRIMELE', 28]"
"['JOSE_JEREMIAS BILMEZIS', 21]"
"['JOSE_FERMIN RONDON', 24]"
"['MARIA_JESUS_ELENA ERBES', 43]"
"['IONUT_VASILE RAMIRES', 27]"
"['ZIVILE SALDUNA', 37]"
"['JOAQUIM_MANUEL CREMASCO', 42]"
