Gestión Financiera
3
5
Gest35
64
80
97
Gest351
4
2024-05-30
"['NAIA MAREQUE', 33]"
"['DOMINGO_IGNACIO RUGERONI', 22]"
"['VALDAS QUENALLATA', 18]"
"['GIANI DALMAN', 17]"
"['MAGDALENA_CARMEN MATUTE', 16]"
"['KELLY_VANESSA CARBONE', 20]"
"['JASNA ECHAURY', 17]"
"['IOANNA GREGORAT', 29]"
"['JOSEFA_CLARA CARLI', 18]"
"[""BIEITO DELL'ACQUA"", 31]"
"['RALUCA_MARIA URETA', 18]"
"['EMILIA_LUISA BOYAN', 25]"
"['ASENSIO LECUMBERRY', 18]"
"['CHAHD HORNUS', 82]"
"['CHRISTIAN_DAMIAN ZAPPACOSTA', 34]"
"['ELIANA_CRISTINA MONTERO', 79]"
"['GILDARDO_ANTONIO CATIRA', 37]"
"['RAVINDER GALLICET', 33]"
"['TIMOTEI BARBIERA', 36]"
"['CLAUDIA_XIMENA CICINO', 20]"
"['NURIA_ALEJANDRA ZANICHELLI', 23]"
"['EDVALDO DIP', 17]"
"['SEBASTIANA IRADIZ', 29]"
"['GALO_MANUEL ROSANO', 22]"
"['NANCY_MARLENE CASTINO', 42]"
