Electiva en Humanidades I
3
6
Elec36
64
32
74
Elec362
3
2024-05-30
"['SERGIO_ALEXIS DABROWSKI', 33]"
"['LAMA TATAJE', 17]"
"['JESUS_FELIX LALIN', 16]"
"['JORGE_GREGORIO BUGLIONE', 70]"
"['JUAN_GINES VIOLANTI', 17]"
"['PEDRO_JORGE BLUS', 23]"
"['CARLOTA GUENCHUMAN', 61]"
"['ADRIAN_CARLOS MELANO', 30]"
"['ALICIA_GABRIELA VENERUS', 77]"
"['DELIA_IOANA LAURO', 16]"
"['PATRICIA_RAQUEL SERATO', 22]"
"['ZOILA_ESTHER LINDE', 34]"
"['MONICA_IRENE BIAZZO', 18]"
"['ANDRES_JULIO ITURBE', 39]"
"['ADELINE LUQUEZ', 16]"
"['IOSUNE PETRUCCIO', 63]"
"['VICTOR_FABIAN DONATINI', 16]"
"['ALEJANDRO_FERMIN BAFICO', 84]"
"['VALENTIN_MIGUEL TURTURICI', 16]"
"['STEFAN_VALENTIN MARELLI', 20]"
"['BENYOUNES MELOGRANA', 25]"
"['AURELIEN MATUS', 23]"
"['CRISTINA_MILAGROS POCHADIF', 18]"
"['MARLON_ANTONIO MOSQUEDA', 45]"
"['MARIA_PILAR_OLGA NECIOSUP', 28]"
