Legislación
3
6
Legi36
64
32
74
Legi361
3
2024-05-30
"['VICTOR_WILLIAM MANTESSO', 17]"
"['ROMERO COLLERA', 26]"
"['HUGO_ALEJANDRO ALCAIRE', 28]"
"['ALVARO_HERNAN DEPAULO', 29]"
"['MANUEL_ELEUTERIO ITUARTE', 43]"
"['CARLOS_OSCAR ANTIGUAL', 73]"
"['IBAN_JESUS PEZOA', 22]"
"['ALEJANDRA_MARINA JURNET', 21]"
"['GLORIA_MILAGROS FALVO', 25]"
"['DAYANE ZUBIRI', 30]"
"['TON UNDERWOOD', 16]"
"['NICOLE_ALEXANDRA BREZOVEC', 83]"
"['LUCICA NIEMETZ', 63]"
"['MATILDE_LUCIA SUVELZA', 27]"
"['JORGE_ROBERTO LUCCHELLI', 22]"
"['NELSON_GEOVANNY PIÃ±AN', 38]"
"['KATHRYN VEREAU', 19]"
"['CARLOS_ESTEBAN DOMINGUEZ', 25]"
"['RAUL_VASILE SUCUNZA', 45]"
"['BENNO ANTONUTTI', 28]"
"['DAYLA VIAPPIANI', 32]"
"['ANGEL_LUCIO ARANDA', 24]"
"['JOSEFA_BLANCA GUGLIELMI', 18]"
"['ANTONIA_FELISA LAURENCIO', 74]"
"['LEIDY_JOHANNA SCHURMAN', 63]"
