Simulación Discreta
3
6
Simu36
64
80
74
Simu363
3
2024-05-30
"['MEHDIA GIACCHI', 36]"
"['GURDEEP HEFFNER', 21]"
"['GERASIMO GUENCHUL', 24]"
"['SALEM GIOVANELI', 54]"
"['MARIA_BUEN_SUCESO MARINO', 54]"
"['HERMINIO DEARTE', 20]"
"['MELANIE_ALEJANDRA CORBEIRA', 20]"
"['AMALIA_ANA LANDI', 16]"
"['JUDITH_MARIA SENOR', 38]"
"['GENOVEVA_MARIA ISLAS', 25]"
"['MIGUEL_EUSEBIO ASTIE', 21]"
"['TEODORO_ANTONIO POSE', 19]"
"['WENDY_LORENA BICHARRA', 18]"
"['PASCUAL_JAVIER RECHA', 27]"
"['NATALIA_MARIA MASSA', 18]"
"['GUSTAVO_ERNESTO GLEREAN', 17]"
"['OSCAR_AURELIO BARRETOS', 37]"
"['MARIPAZ MONTANILE', 16]"
"['MARIA_ISABEL_BEGOÑA GOSS', 16]"
"['MARIA_CARLOTA BOTTER', 28]"
"['BEATRIZ_GABRIELA SYSAK', 19]"
"['ISARN RIADIGOS', 53]"
"['MONICO VALETTO', 37]"
"['SIMPLICIO BORIS', 17]"
