Diseño de Sistemas Productivos
3
7
Dise37
64
80
83
Dise371
5
2024-05-30
"['ALICIA_LOURDES ISKANDAR', 16]"
"['SEGUNDO_ANGEL PAREJA', 49]"
"['ABDERRAHMEN SÃ¶CHTIG', 27]"
"['CLARA_EUGENIA CANAVIRI', 33]"
"['VICTORIA_EUGENIA DI_PRIMIO', 25]"
"['MONICA_LETICIA MARTINACHI', 16]"
"['MARTA_SARA LARRETA', 34]"
"['EDGAR_GERMAN ARNOLD', 77]"
"['YASSMINA FARFAN', 27]"
"['JOSE_GONZALO REBOLLOSO', 19]"
"['ZAMFIRA CHIAPPERO', 29]"
"['MARIO_ADRIAN LUFRANO', 22]"
"['VICTORIA_GABRIELA WOLOWELSKI', 23]"
"['NEIL_ANDREW HINDI', 23]"
"['HECTOR_RAFAEL CROIZET', 31]"
"['CIRILA MOREIRA', 33]"
"['MARGALIDA CIPOLLONE', 16]"
"['NUGZAR JAKES', 25]"
"['MAGENCIA HERBA', 26]"
"['SEBASTIAN_ANGEL LLONTOP', 29]"
