Electiva en Humanidades II
3
7
Elec37
64
80
83
Elec374
5
2024-05-30
"['ANA_GEORGIANA WIPRICH', 29]"
"['ANA_MARTINA ALDER', 17]"
"['NELSO KOMISEROFF', 38]"
"['ELENA_OANA DEMO', 26]"
"['CHRISTINE_MARGARET FELUDERO', 22]"
"['FREDDY_ANTONIO CUELLO', 16]"
"['GLORIA_FATIMA SCARANO', 39]"
"['APARICIO BERGANDI', 21]"
"['CRISTIANO ANSALDO', 30]"
"['ANJA AMICUZZI', 17]"
"['MAXIMINO_JOSE MIYNO', 21]"
"['LALIA PREDILETTO', 34]"
"['CARLOS_JOSUE CORINALDESI', 18]"
"['GRACIELA_SUSANA MACARREIN', 36]"
"['MARIA_BONIFACIA STRATICO', 57]"
"['LEIDY_ANDREA TIMONIERI', 16]"
"['JOSEFA_ELVIRA CERESOLI', 28]"
"['AUREA_ISABEL URBANI', 24]"
"['ACACIA PAJARES', 25]"
"['SYLWIA_ANNA MIRAGAYA', 19]"
