Electiva en Humanidades III
3
8
Elec38
64
80
88
Elec383
5
2024-05-30
"['CAYO CONTIS', 20]"
"['MARIANO_JORGE HUCULAK', 35]"
"['XU GATICA', 34]"
"['VIRGINIA_EUGENIA CALSSON', 32]"
"['ASHLEY_DANIELA MARTIRANIA', 32]"
"['PATRICIA_ELISA URREA', 38]"
"['VICTORIA_ANA CABRERA', 21]"
"['ADINA_IOANA OSGANIAN', 26]"
"['VALENTINA_ELENA NEMER', 21]"
"['LAVINIA_NICOLETA VIYELLA', 27]"
"['ALPIDIO PASTRANO', 22]"
"['SIMRANJIT NATAINE', 28]"
"['RICHARD_JESUS DOMATTO', 20]"
"['EDDA HETMA̱IUK', 21]"
"['YOBANI COLACILLI', 25]"
"['RUBEN_ENRIQUE SOLDATTI', 32]"
"['JUAN_RIBERA GIMENEZ', 31]"
"['ESTEFANIA_BELEN MARASI', 29]"
"['IZAN_DANIEL MUCARZEL', 24]"
"['KATIBA SEIVALD', 39]"
