Electiva en Humanidades III
3
8
Elec38
64
80
88
Elec384
5
2024-05-30
"['BALBINA JAUGE', 18]"
"['IONELA_LOREDANA ATTIS', 63]"
"['JUAN_DIMAS FERNANDE', 82]"
"['XIUYAN BORTNIK', 35]"
"['LIDIA_BEATRIZ ARBOR', 25]"
"['DIEGO_MARIA PIERANGELI', 26]"
"['NATALIA_MARCELA FAT', 22]"
"['ANDREW_NICHOLAS TONANI', 36]"
"['RAMON_MANUEL PLATA', 17]"
"['JOSE_LEONEL MEISSINGER', 37]"
"['ASSAD PAGNUTTI', 24]"
"['BERTINA BEILIS', 29]"
"['DENIS_JAVIER GALLIANO', 32]"
"['KONSTANTINA VALLADAREZ', 17]"
"['TOMAS_SALVADOR BALIANI', 60]"
"['FELICIANA BENATTI', 23]"
"['DAMARIS_ELIZABETH THOMES', 31]"
"['ANA_ALINA BAIS', 39]"
"['PETRU_NICOLAE MARTEL', 29]"
"['DAN_ALEXANDRU CORBERA', 43]"
