Electiva Complementaria III
3
9
Elec39
64
80
66
Elec393
4
2024-05-30
"['JULISSA GOMES', 30]"
"['RAZVAN_STEFAN RIQUEZA', 23]"
"['LYDIA_MARIA FARI', 25]"
"['MARIA_URBANA RUBITO', 53]"
"['OSCAR_ISIDRO SALVATO', 23]"
"['CELMA SARSER', 18]"
"['ALBA_YOLANDA JOVER', 32]"
"['MARY_HELEN CASTELLONESE', 16]"
"['SONIA_RAQUEL DEPIRRO', 20]"
"['FRANCISCO_AURELIO TRAVAGLIA', 40]"
"['MANUEL_BELARMINO LAHARGOUE', 33]"
"['SHAUN MELADO', 32]"
"['FRANCISCO_ELISEO VERNAL', 34]"
"['NIDIA_MARIA MUSE', 21]"
"['RITAJ SZEWCZUK', 53]"
"['JOAQUIN_JULIAN ARRUNATEGUI', 30]"
"['LAURA_BEATRIZ GUEMES', 31]"
"['SANTIAGO_ARIEL SARLINGO', 19]"
"['LUIS_BERNARDO VUGIN', 42]"
"['ANA_GORETTI RENDON', 22]"
