Electiva en Humanidades IV
3
9
Elec39
64
80
66
Elec391
4
2024-05-30
"['JUAN_CIPRIANO AGODINO', 50]"
"['SARA_AINHOA RODE', 23]"
"['JIMMY_ALEJANDRO GUINTER', 44]"
"['MIHAI_EDUARD REALE', 18]"
"['FERNANDO_XAVIER VUARANT', 31]"
"['JOAN_ALEJANDRO CATERINA', 34]"
"['MARIO_CARLOS LIKE', 35]"
"['YIWEI CAFFARENA', 17]"
"['PONCIANO DI_POI', 16]"
"['LUIS_ROLANDO DONEL', 23]"
"['NAYUA G', 20]"
"['MICKAEL PALAMETA', 37]"
"['MAMUKA MERNES', 16]"
"['ANNA_LENA PALMAS', 37]"
"['ANTONIO_VICENTE VICENCIO', 37]"
"['MARITZA_ELIZABETH RICOBELLI', 21]"
"['ROSA_EUGENIA ROFFE', 31]"
"['HECTOR_FABIO DI_SANTO', 18]"
"['EDORTA SPANU', 20]"
"['JOSEP_ANTONI BARON', 17]"
