Electiva en Humanidades IV
3
9
Elec39
64
80
66
Elec392
4
2024-05-30
"['MARIA_VIVIANA ROSSATTO', 33]"
"['LUCAS_JAVIER XAVIER', 20]"
"['JESUS_ADRIAN AMIEVA', 21]"
"['RICHARD_DANIEL FLEITES', 44]"
"['CRISTINA_PILAR QUEIPO', 36]"
"['ROBERTO_ADOLFO DOMINIONI', 58]"
"['ARCENIA PELLEJERO', 27]"
"['LAURA_CONSUELO AZAT', 72]"
"['JOSE_LUIS_ANGEL LLANCA̱IR', 53]"
"['ANDREEA_STEFANIA ILGENFRITZ', 21]"
"['FOUSSENY JAKULIS', 21]"
"['SAMAR FEDUKEVICH', 23]"
"['JULA KRIKORIAN', 25]"
"['CRISTOBAL_ANTONIO MAYO', 40]"
"['SIMONA_CLAUDIA MOIETTA', 24]"
"['DOMINICO PELLETANT', 27]"
"['FLORITA MANN', 18]"
"['ANGELA_SUSANA DOBROVOLNY', 21]"
"['KELLY_ALEJANDRA GAMARINO', 27]"
"['JAMIL BURDINO', 37]"
